id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
BZ7RP6018E,里和收费站(S8广佛肇高速入口广佛肇高速方向),道路附属设施;收费站;收费站,180200,[],南海区,113.138844,23.230245,113.13336614095329,23.23273642783882,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7RP6018D,里和收费站(S8广佛肇高速出口里水方向),道路附属设施;收费站;收费站,180200,[],南海区,113.139157,23.229752,113.1336796092821,23.23224405491732,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
B0FFGQ9XNO,沙涌收费站(S15广佛高速入口广州方向),道路附属设施;收费站;收费站,180200,[],里水镇湖州工业区湖州三路一步印刷厂,113.170532,23.138766,113.16511409074404,23.141346498112657,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
B0FFGQB25C,沙涌收费站(S15广佛高速出口盐步方向),道路附属设施;收费站;收费站,180200,[],南海区,113.167645,23.140639,113.16222157930508,23.143213295766145,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7PP601GG,海五路收费站(S47广佛江珠高速入口北向),道路附属设施;收费站;收费站,180200,[],南海区,113.172124,23.055415,113.16671469949966,23.058033065175195,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7PP601GF,海五路收费站(S47广佛江珠高速出口千灯湖方向),道路附属设施;收费站;收费站,180200,[],南海区,113.171527,23.05469,113.16611663187987,23.05730724408569,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
B0FFGQ5QTH,沙涌收费站(S15沈海高速广州支线入口西向),道路附属设施;收费站;收费站,180200,[],盐步出口(S15沈海高速广州支线出口西向)附近,113.167641,23.14052,113.16221757992562,23.143094335399848,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
B02F506ZXL,沙涌加油站(广佛高速广州方向),道路附属设施;服务区;高速加油站服务区,180301,[],南海区,113.163602,23.137643,113.15817130992173,23.1402108922694,[],广东省,佛山市,南海区,道路附属设施,服务区,高速加油站服务区
BZ7PP601JY,海五路收费站(S47广佛江珠高速出口),道路附属设施;收费站;收费站,180200,[],南海区,113.172431,23.048931,113.16702271099876,23.05155242075805,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7PP601H8,海五路收费站(S47广佛江珠高速入口),道路附属设施;收费站;收费站,180200,[],南海区,113.171649,23.049616,113.1662392022152,23.05223564602913,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7NP601JG,勒流收费站(S47广佛江珠高速出口伦教方向),道路附属设施;收费站;收费站,180200,[],顺德区,113.186317,22.855944,113.18094728640868,22.85867244708448,[],广东省,佛山市,顺德区,道路附属设施,收费站,收费站
BZ7NP601JN,北滘收费站(s47广佛江珠高速入口),道路附属设施;收费站;收费站,180200,[],三乐西路与工业二路交叉口西120米,113.180448,22.909258,113.175064027637,22.91195422689098,[],广东省,佛山市,顺德区,道路附属设施,收费站,收费站
BZ7NP601IN,勒流收费站(S47广佛江珠高速入口),道路附属设施;收费站;收费站,180200,[],顺德区,113.182626,22.857726,113.17724947652042,22.860446992121688,[],广东省,佛山市,顺德区,道路附属设施,收费站,收费站
